,Conformer,RMSD_macrocycle,RoG_macrocycle,TF_macrocycle,TFD_macrocycle,RMSD_heavy_atoms,RoG_heavy_atoms,TF_heavy_atoms,TFD_heavy_atoms,Nconf,Span_Rog_macrocycle,Span_Rog_heavy_atoms
0,1A7X_427,1.9921864478256806,3.328394643472924,21.0,0.35200711234647775,6.352418422698975,5.847944063699757,130.0,0.20843954057626346,854,0.5608727189312162,1.934138568233366
1,1BXO_368,0.4358224070406022,2.9625091265191297,15.0,0.06326091084247032,2.2974486351013184,5.182929671939144,72.0,0.20605595378599134,977,0.4418702421008027,1.52090668537992
2,1BZL_120,1.233734558088988,4.20640902247803,24.0,0.9376697068630723,3.4654266834259033,6.232315736137337,64.0,0.2546469810609756,828,0.8810871815028767,1.734691448759011
3,1E9W_140,2.431887588226877,5.905061434212895,54.0,3.960394987289003,3.771280527114868,8.146984748656958,245.0,0.5646574703328524,636,1.021108963950283,0.7996987232803052
4,1EHL_26,0.29797994810768147,2.75463671790018,25.0,0.014385591738283165,0.7331206202507019,3.7527836543849555,89.0,0.20966423642868998,286,0.25548923628534537,0.3803867383364743
5,1ESV_750,0.6960348762801458,2.8821275614182675,16.0,0.019207976796159633,3.778142213821411,3.831777275220851,51.0,0.15791431920780236,904,0.409668769892205,1.0311808768416029
6,1FKD_171,1.231158454167747,3.6222167517202037,21.0,0.14782023077276812,5.037606239318848,5.0180814439445705,117.0,0.36719821792943114,655,0.6301344138856231,1.6091303090422278
7,1FKI_22,1.1112603201051685,3.620719178350445,21.0,0.13120458783732872,1.415226697921753,3.908801209220836,50.0,0.26850471453171854,34,0.5624191504035783,0.6453262004318416
8,1FKJ_420,1.526890535468221,3.5992940560297666,21.0,0.03331749049241845,3.13655161857605,4.898517348567841,114.0,0.27292355879784164,578,0.40445655900509214,1.4914241457106954
9,1FKL_101,1.3523735453360544,4.979537094411786,29.0,10.378415507355303,2.6016159057617188,6.047666430580554,124.0,1.4160344078002491,572,1.116230587851848,1.3239198675033723
10,1KEG_1,1.2642943592562845,2.7896347485780426,25.0,0.013579709561977115,7.316672325134277,5.046477748560377,175.0,0.32153095724371045,660,0.0,1.2233693510760961
11,1KHR_61,0.5228120484811425,4.068866842269788,23.0,0.7093894585400671,0.8485398292541504,4.435648774639748,67.0,0.3906604042655335,264,0.5861762952329355,0.7447519751088119
12,1MRL_163,1.782499660074268,4.003262414065544,23.0,0.09462670574671399,3.1785242557525635,5.1632853476427405,86.0,0.3519021019274242,368,0.21827728361855225,0.8661748994646601
13,1NMK_103,1.1607403525131559,3.916584731189099,22.0,0.02427184922045827,3.955876111984253,5.4115647661950685,92.0,0.186888329104843,915,0.7139721657958376,1.2266677809908781
14,1NSG_94,1.1061015855022402,5.287032319698393,29.0,25.857372174454984,2.0704543590545654,6.402606056445397,125.0,2.7468506721532275,413,0.9786531318664666,1.1720077450551614
15,1NT1_72,0.41723465039977015,2.9329561858325097,17.0,0.049153746866462164,1.7042700052261353,4.028343973338048,67.0,0.08098872045222452,648,0.5284094629532761,1.2227077554506134
16,1NWX_1,0.96292723354324,2.592771177448745,14.0,0.05306975604786225,7.806467056274414,5.2917381251414435,118.0,0.24866448750226514,906,0.0,1.0268982111151121
17,1OSF_900,1.1732363197381313,3.3314190841516718,19.0,0.11002996412670478,4.267273426055908,4.2449573570330665,76.0,0.2777415851658104,900,0.11156444072748117,0.845978797511453
18,1PFE_1,2.0843179452830816,3.979345192108112,46.0,0.11463118391700629,3.4549849033355713,5.679406282315854,162.0,0.0778535365579516,81,0.0,0.8964209445952092
19,1PKF_91,0.7478735913371907,2.8067025445499243,16.0,0.0816980473848469,1.733510971069336,4.2169049023395555,60.0,0.39108767384901016,726,0.17283883302428737,1.1516844299857074
20,1QPF_181,1.087547130409648,3.927118926650453,21.0,0.2621381089857349,5.131743907928467,6.832771981203441,141.0,0.41643812429252247,713,0.7253477121999592,1.9460739759455548
21,1QPL_414,1.382653040800434,3.279658984557886,21.0,0.29214469242349206,8.645193099975586,6.25001609729712,143.0,0.21858364123385365,574,0.6301929901583434,2.0608023272189033
22,1QZ5_434,0.9902653497003568,4.357973497373168,25.0,1.2979841400554946,8.934110641479492,6.218356623228678,121.0,0.27824895102426234,573,0.44496898856246725,2.0153770471776626
23,1QZ6_123,0.881925395880133,4.337460707377834,25.0,1.1171707028272468,6.576333522796631,6.185263652261938,109.0,0.36926743504851534,996,0.7537668684548118,2.0928478583464916
24,1S22_222,1.0466153822199566,4.289577803482551,25.0,0.33280269931700496,5.280190944671631,5.429778634353743,90.0,0.3264354172304805,747,0.5500618879356507,1.7993876348322502
25,1SKX_38,1.5466692546903842,4.064524447701854,33.0,0.053426105250661826,2.5584566593170166,4.330827609191563,114.0,0.179844014185436,75,0.29288395212665286,0.2734214141621827
26,1TPS_1,0.8229395123905286,3.456922041137285,19.0,0.1526155296506804,4.109927177429199,5.844214697793264,124.0,0.1969418082268749,891,0.30860558040519637,0.9536855106216269
27,1WUA_1,1.9617603990271493,3.89866498593761,24.0,0.11802710978859954,9.74553108215332,6.696574998333946,119.0,0.3191646019302891,868,0.0,0.9153624573086745
28,1XS7_1,0.8669742259734796,2.977379915954285,16.0,0.15074112920438493,5.805150032043457,5.740429988141744,80.0,0.2937560106908728,856,0.6196152216201338,1.7581182104626354
29,1YET_210,1.2958552212410681,3.362871541620376,19.0,0.10269571549175815,3.08199405670166,3.9174877027503867,72.0,0.2059136671079343,318,0.19721381591878773,0.726438778658324
30,1YND_188,1.6932929101688128,3.8986533308405087,22.0,0.12711252209810572,6.897246837615967,8.108073897635652,149.0,0.25601116302345767,526,0.2711870115239883,3.7849195242193066
31,1YXQ_1,3.756777718829591,6.084598381196841,40.0,1249602.271262781,4.9943342208862305,6.560817024106854,170.0,59505.253905503654,694,0.0,0.7977531277162306
32,2ASM_1,2.0443993437918975,4.383686844033537,26.0,0.13687710353416052,5.681722640991211,5.853198175332927,111.0,0.3484854139464322,243,0.0,0.07966485318807948
33,2ASO_1,1.8005638195213451,4.2501516673332045,26.0,1.6441509542310893,6.719615459442139,5.642592131616455,113.0,0.4220768540940416,336,0.0,0.0764489156473287
34,2ASP_178,1.8658573129779057,4.274964746021784,26.0,3.300457569901528,5.003512382507324,5.660217322378888,105.0,0.441727114076613,355,0.12439298008172717,0.8157069932982148
35,2C6H_105,0.4183595231460824,2.3159788409890507,12.0,0.06030264671751802,2.1325619220733643,3.893579703387829,59.0,0.264815515374107,589,0.13615008908436055,0.990451456801229
36,2C7X_1,0.600026498353396,2.6708983327915528,14.0,0.027166523693748147,3.123915433883667,3.9805352697902845,67.0,0.19705031666502149,155,0.09899646293033282,0.9630715625772766
37,2DG4_286,1.1932141350303298,5.242598095293893,29.0,20.563364730337355,2.095576047897339,6.019258211603689,124.0,2.4205620996745463,805,0.710349935589794,1.050250040950253
38,2F3E_53,0.6927110933173437,3.0227538672019545,15.0,0.02137480577218072,4.602579593658447,5.524752861406729,65.0,0.2774844943830155,853,0.35004429074932597,2.2816906876217606
39,2F3F_175,0.9018671672101923,2.9622909902879644,15.0,0.03175093788174809,2.479271411895752,4.608899214050479,54.0,0.394098260156856,883,0.47957362159243067,1.6799361215857882
40,2GPL_48,0.8219106646586636,3.04202623691884,26.0,0.09506398571883347,4.733079433441162,4.9607476259234105,84.0,0.20041647826389006,985,0.22503905972064242,1.4879303523830947
41,2IYA_291,0.79185066858927,2.6325946893559826,14.0,0.033270658252635914,2.441732406616211,4.381569674917089,102.0,0.07269064266838692,581,0.14683387128870296,0.8337871820053717
42,2IYF_786,0.8332451516416276,2.6218357327547874,14.0,0.062360599082331686,4.771632194519043,4.593973027926415,107.0,0.2509424180998209,786,0.13161355289156962,0.7167958997261623
43,2OTJ_1,0.5425848087307108,3.311440447013342,18.0,0.02863672483410466,2.7426912784576416,4.771195961643508,82.0,0.3981866514221372,188,0.4357747592140102,1.0079299670257287
44,2PH8_822,0.44082335209864365,3.0143261409678677,16.0,0.00974332926570621,1.5030343532562256,4.187485028806465,58.0,0.02649528771877373,857,0.38457407651052833,1.0930418581642178
45,2Q0R_817,0.7727716305741614,4.609320916159566,26.0,0.4285774008387281,2.2715134620666504,6.0428297244152835,152.0,0.3220878309836119,913,0.9996746325785257,1.576157320370836
46,2QZK_12,0.4319523782052769,2.9605830389692978,16.0,0.07495124483544306,1.3741340637207031,4.484247299957235,80.0,0.09477019084145717,859,0.3067780106080682,0.8908554710285821
47,2VYP_1,2.803013866107319,4.542700831844116,38.0,168993.76935254326,8.998769760131836,6.26512579614139,172.0,4567.7972950364065,135,0.0,0.03485923304835481
48,2VZM_95,0.5106095491423872,2.709376775753489,14.0,0.053508302251809976,1.6890320777893066,4.113033511723079,67.0,0.22417184471816562,190,0.08035892577129422,0.8884050272405837
49,2WEA_34,0.23755590472077912,2.238093214514134,12.0,0.013632255465424526,2.1886446475982666,4.223793220624993,76.0,0.1690839144266479,877,0.21569829075511748,1.4213919406790851
50,2WHW_256,0.7831952009926355,2.5534890546445173,13.0,0.02437534458183858,2.630402088165283,3.2585162954768214,39.0,0.10891032889023722,930,0.2297206727970207,1.3852350749136768
51,2XBK_416,0.7430044618283776,4.3402078648587885,24.0,0.057329061958305165,2.5115811824798584,5.419741265803792,79.0,0.11351509007244924,996,0.514070864870471,1.1907400594798334
52,3ABA_310,1.1961507381958618,4.825777181715635,28.0,4.958717261733269,3.793097496032715,5.435441362384186,59.0,1.0037029757339624,852,0.36302035863420823,0.9688530164020586
53,3DV1_885,0.792909402960688,2.7219741980207224,15.0,0.0028833864343609595,2.2222139835357666,4.430475769503777,43.0,0.15873776619884877,940,0.29076315576512757,1.5867535242435347
54,3DV5_1,0.7603608979034691,2.89134853921489,16.0,0.035102233627103886,2.2739322185516357,4.785652037937572,55.0,0.427584257699552,605,0.34023456068135305,2.076282401560096
55,3EKS_114,0.24876110616585823,2.23320298674348,11.0,0.037413234980134095,1.5679810047149658,3.861250852415346,86.0,0.25203116588401175,948,0.14693181440986258,0.627679464465253
56,3I6O_372,0.5572874888888223,2.4782349326269912,13.0,0.07008092139543032,5.6684160232543945,4.775779305940369,86.0,0.15766990069772072,841,0.2511584707069696,1.855272098390501
57,3K5C_90,0.6927864237726638,3.0029293300890245,16.0,0.09627457270447197,4.024754047393799,5.027127007254251,81.0,0.22134499221121623,882,0.31855865906312886,2.1171703842532414
58,3KEE_497,0.8433444663048805,2.5950526769857434,14.0,0.004384423036436324,5.292507171630859,5.3512473013012265,119.0,0.10622567654452895,497,0.12506482940710395,1.010223451792296
