,Conformer,RMSD_macrocycle,RoG_macrocycle,TF_macrocycle,TFD_macrocycle,RMSD_heavy_atoms,RoG_heavy_atoms,TF_heavy_atoms,TFD_heavy_atoms,Nconf,Span_Rog_macrocycle,Span_Rog_heavy_atoms
0,1A7X_46_43.687,0.7918517200293019,3.6765382142095033,21.0,0.19052267217991337,3.2624411582946777,6.404063553836591,130.0,0.21886844729272156,53,0.6333888296957899,1.4095293398571176
1,1BXO_37_10.488,0.6542537322481137,2.8222519436039692,15.0,0.040764268368522746,3.1319355964660645,4.604245198244294,72.0,0.12419380076220914,47,0.28074046304066824,1.0921825713441926
2,1BZL_113_5.636,0.9374444241826754,4.342397851521957,24.0,0.5077952199684528,4.403756141662598,4.699296407828145,64.0,0.3836151339535748,313,1.3488695820567225,1.8223959425300267
3,1CPI_conf1_12_34.166,0.8119267827974634,2.7599405473262366,24.0,0.14003528670682833,6.809340953826904,5.954437447949246,85.0,0.25650412674413564,24,0.12071299706341287,2.0553282464647795
4,1E9W_41_104.532,2.6507004091591404,5.587273807252905,54.0,1.781287515852993,7.427605152130127,6.693936789340431,245.0,0.46820475134681216,44,1.579010462675404,1.896558365453096
5,1EHL_14_38.667,0.372378077660073,2.9469335070294176,25.0,0.02665193156334164,0.7597797513008118,3.897957128249685,89.0,0.22722204343558097,39,0.13357229576156326,0.29472410232630786
6,1ESV_10_24.274,0.33486727815978723,3.0136237192375126,16.0,0.0016977519240342263,2.2931177616119385,4.140079360387069,51.0,0.12848254206667076,23,0.2641979824068983,0.6147120330620277
7,1FKD_24_41.986,0.745883137004432,3.6507647573286457,21.0,0.21858494113080723,2.1113836765289307,5.051396670316905,117.0,0.22849939301281036,54,0.8181984539762843,1.1740194915179716
8,1FKI_005_18.976,0.6786582665346825,3.6539728512865746,21.0,0.07751081394427488,0.7538133859634399,3.7556160672648997,50.0,0.30549729364451883,400,0.7872475518290951,0.8209235077106798
9,1FKJ_157_39.507,0.8054073251412113,3.715202766785564,21.0,0.04803366065473752,3.1136362552642822,5.398780678007592,114.0,0.2221566192055101,163,0.8028030385782166,1.5139147549424754
10,1FKL_056_30.197,1.084375811124064,4.824716450424244,29.0,9.055496802595975,3.523324728012085,5.986356933592817,124.0,1.1806697014433725,250,1.5629596316708816,1.773271946069828
11,1HHY-A_conf1_0_203.252,1.4009396825932818,5.130427075971426,71.0,0.04386552477845338,3.3741812705993652,7.021101055818548,201.0,0.25069324292945716,1,0.0,0.0
12,1KEG_0_52.623,0.7472278368123565,2.945190616703519,25.0,0.06250836937134525,8.269070625305176,5.675920483100757,175.0,0.25169985812880014,8,0.0627855535372257,0.7750100714256716
